strain	reference_strain	isotype	previous_names	warning_message	sequenced	source_lab	release	latitude	longitude	elevation	landscape	substrate	photo	isolated_by	sampled_by	isolation_date	isolation_date_comment	notes	city
JU1566	False	JU1568	I4.1.1		False	JU	20160408	48.8092000	2.3862000	45.08	Urban garden	Rotting stem	None	M.-A. Félix	M.-A. Félix	2008-10-05	None	Isolated from a rotting Petasites stem (#I4) in Ivry-sur-Seine (Val de Marne), France, sampled on 5 Oct 2008. Plated on 6 Oct. Isolated as an adult on 6 Oct.	Ivry-sur-Seine
JU1568	True	JU1568	I5.1.1		False	JU	20160408	48.8092000	2.3862000	45.08	Urban garden	Rotting stem	None	M.-A. Félix	M.-A. Félix	2008-10-05	None	Isolated from a rotting Petasites stem (#I5) in Ivry-sur-Seine (Val de Marne), France, sampled on 5 Oct 2008. Plated on 6 Oct. Isolated as an adult on 6 Oct.	Ivry-sur-Seine
JU1580	True	JU1580	O87.15		False	JU	20160408	48.7015000	2.1725000	65.7882	Rural garden	Rotting fruit	None	M.-A. Félix	M.-A. Félix	2008-10-06	None	Isolated from rotting apple O87 (Calville Rouge d’Oullins) sampled by MAF in the Orsay (Essonne, France) orchard on 6 Oct 2008. Plated on 6 Oct, isolated as a L4 on 7 Oct.	Orsay
JU1511	False	JU1581	O11.2.1		False	JU	20160408	48.7015000	2.1725000	65.7882	Rural garden	Rotting fruit	None	M.-A. Félix	M.-A. Félix	2008-09-09	None	Isolated from a rotting apple O11 (tree “Calville du Roi”), sampled in the Orsay orchard on 9 Sep 2008 ca. 13:00, plated ca. 18:00, picked as adult ca. 20:00.	Orsay
JU1516	False	JU1581	O13.1.1		False	JU	20160408	48.7015000	2.1725000	65.7882	Rural garden	Rotting fruit	None	M.-A. Félix	M.-A. Félix	2008-09-09	None	Isolated from a rotting apple O13 (ca. 10 m from O11), sampled in the Orsay orchard on 9 Sep 2008 ca. 13:00, plated ca. 18:00, picked as adult on 10 Sep.	Orsay
JU1522	False	JU1581	O14.2.1		False	JU	20160408	48.7015000	2.1725000	65.7882	Rural garden	Rotting fruit	None	M.-A. Félix	M.-A. Félix	2008-09-09	None	Isolated from a rotting apple O14 (tree “Chailleux”, ca. 6 m from O13), sampled in the Orsay orchard on 9 Sep 2008 ca. 13:00, plated ca. 18:00, picked as L4 on 10 Sep.	Orsay
JU1581	True	JU1581	O134.10		False	JU	20160408	48.7015000	2.1725000	65.7882	Rural garden	Rotting fruit	None	M.-A. Félix	M.-A. Félix	2008-10-23	None	Isolated from rotting apple O134 (Calville d’Août) sampled by MAF in the Orsay (Essonne, France) orchard on 23 Oct 2008. Plated on 23 Oct, picked as a L2d on 23 Oct.	Orsay
JU1582	False	JU1581	O143.9		False	JU	20160408	48.7015000	2.1725000	65.7882	Rural garden	Rotting fruit	None	M.-A. Félix	M.-A. Félix	2008-10-23	None	Isolated from rotting apple O143 (Pouzac variety) sampled by MAF in the Orsay (Essonne, France) orchard on 23 Oct 2008. Plated on 23 Oct, picked as a pale adult on 24 Oct.	Orsay
JU1807	False	JU1581	O145.1.1		False	JU	20170531	48.6621340	2.2131000	152.02	Rural garden	Rotting fruit	None	M.-A. Félix	M.-A. Félix	2008-10-23	None	None	Marcoussis
JU1586	True	JU1586	B41.1		False	JU	20160408	46.6300000	1.0600000	95.5796	Rural garden	Rotting fruit	None	M.-A. Félix	M.-A. Félix	2008-11-03	None	Isolated from rotting grape puree sampled in Le Blanc (Indre), France on 3 Nov 2008. Plated 3 Nov 2008, isolated as adult on 5 Nov.	Le Blanc
