strain	reference_strain	isotype	previous_names	warning_message	sequenced	source_lab	release	latitude	longitude	elevation	landscape	substrate	photo	isolated_by	sampled_by	isolation_date	isolation_date_comment	notes	city
NIC199	True	NIC199	None		False	NIC	20160408	37.7454280	-25.1992900	25.5951	Rural garden	Nut	None	D. Bourc’his & J. Dumont	D. Bourc’his & J. Dumont	2011-03-09	None	None	Faial da Terra
NIC200	False	NIC199	None		False	NIC	20160408	37.7494200	-25.6648900	51.1551	Rural garden	Fruit	None	D. Bourc’his & J. Dumont	D. Bourc’his & J. Dumont	2011-05-09	None	None	Ponta Delgada
NIC2	True	NIC2	None		False	NIC	20160408	43.2790000	5.3543000	13.2108	Urban garden	Rotting plant	None	C. Braendle	C. Braendle	2008-09-14	None	None	Marseille
NIC207	True	NIC207	None		False	NIC	20160408	43.7205050	7.2404500	197.819	Rural garden	Rotting fruit	None	C. Braendle	C. Braendle	2011-09-21	None	None	Nice
NIC231	True	NIC231	None		False	NIC	20160408	43.7205050	7.2404500	197.819	Rural garden	Rotting fruit	None	C. Braendle	C. Braendle	2011-11-14	None	None	Nice
NIC232	False	NIC231	None		False	NIC	20160408	43.7205050	7.2404500	197.819	Rural garden	Rotting fruit	None	C. Braendle	C. Braendle	2011-11-14	None	None	Nice
NIC236	True	NIC236	None		False	NIC	20160408	39.2420060	-9.3134170	16.9994	Rural garden	Rotting fruit	None	C. Braendle	C. Braendle	2011-11-26	None	None	Lourinhã
NIC237	False	NIC236	None		False	NIC	20160408	39.2420060	-9.3134170	16.9994	Rural garden	Rotting fruit	None	C. Braendle	C. Braendle	2011-11-26	None	None	Lourinhã
NIC242	True	NIC242	None		False	NIC	20160408	38.6917650	-9.3160900	13.6666	Urban garden	Rotting fruit	None	C. Braendle	C. Braendle	2008-08-17	None	Isolated at IGC (Instituto Gulbenkian de Ciência)	Oeiras
NIC251	True	NIC251	None		False	NIC	20160408	38.6662100	-28.1513640	222.965	Rural garden	Rotting fruit	None	S. Carvalho	S. Carvalho	2012-08-01	Only year and month are known (08-2012)	Isolated in the Azores, on the island of São Jorge	Ribeira do Nabo
NIC252	True	NIC252	None		False	NIC	20160408	38.6613130	-28.1479490	223.936	Rural garden	Rotting fruit	None	S. Carvalho	S. Carvalho	2012-08-01	Only year and month are known (08-2012)	Isolated in the Azores, on the island of São Jorge	Ribeira do Nabo
NIC255	True	NIC255	None		False	NIC	20160408	43.7148340	7.2667790	58.4065	Urban garden	Rotting fruit	None	C. Braendle	C. Braendle	2012-11-18	None	Isolated in Parc de Valrose	Nice
NIC256	True	NIC256	None		False	NIC	20160408	38.7182900	-9.1487500	57.1752	Botanical garden zoo	Fruit	None	C. Braendle	C. Braendle	2012-12-02	None	None	Lisbon
NIC263	False	NIC256	None		False	NIC	20160408	38.7182900	-9.1487500	57.1752	Botanical garden zoo	Fruit	None	C. Braendle	C. Braendle	2012-12-02	None	None	Lisbon
NIC258	True	NIC258	None		False	NIC	20160408	38.7182900	-9.1487500	57.1752	Botanical garden zoo	Fruit	None	C. Braendle	C. Braendle	2012-12-02	None	None	Lisbon
NIC259	True	NIC259	None		False	NIC	20160408	38.7182900	-9.1487500	57.1752	Botanical garden zoo	Fruit	None	C. Braendle	C. Braendle	2012-12-02	None	None	Lisbon
NIC260	True	NIC260	None		False	NIC	20160408	38.7182900	-9.1487500	57.1752	Botanical garden zoo	Fruit	None	C. Braendle	C. Braendle	2012-12-02	None	None	Lisbon
NIC261	True	NIC261	None		False	NIC	20160408	38.7182900	-9.1487500	57.1752	Botanical garden zoo	Fruit	None	C. Braendle	C. Braendle	2012-12-02	None	None	Lisbon
NIC262	True	NIC262	None		False	NIC	20160408	38.7182900	-9.1487500	57.1752	Botanical garden zoo	Flower	None	C. Braendle	C. Braendle	2012-12-02	None	None	Lisbon
NIC265	True	NIC265	None		False	NIC	20160408	38.7182900	-9.1487500	57.1752	Botanical garden zoo	Flower	None	C. Braendle	C. Braendle	2012-12-02	None	None	Lisbon
NIC266	True	NIC266	None		False	NIC	20160408	38.6923700	-9.3159200	12.6281	Urban garden	Flower	None	C. Braendle	C. Braendle	2012-12-07	None	Isolated in Jardim do Palacio do Marques de Pombal	Oeiras
NIC267	True	NIC267	None		False	NIC	20160408	38.6923700	-9.3159200	12.6281	Urban garden	Fruit	None	C. Braendle	C. Braendle	2012-12-07	None	Isolated in Jardim do Palacio do Marques de Pombal	Oeiras
NIC270	False	NIC267	None		False	NIC	20160408	38.6923700	-9.3159200	12.6281	Urban garden	Fruit	None	C. Braendle	C. Braendle	2012-12-07	None	Isolated in Jardim do Palacio do Marques de Pombal	Oeiras
NIC268	True	NIC268	None		False	NIC	20160408	38.6923700	-9.3159200	12.6281	Urban garden	Fruit	None	C. Braendle	C. Braendle	2012-12-07	None	Isolated in Jardim do Palacio do Marques de Pombal	Oeiras
NIC269	True	NIC269	None		False	NIC	20160408	38.6923700	-9.3159200	12.6281	Urban garden	Fruit	None	C. Braendle	C. Braendle	2012-12-07	None	Isolated in Jardim do Palacio do Marques de Pombal	Oeiras
NIC271	True	NIC271	None		False	NIC	20160408	38.6923700	-9.3159200	12.6281	Urban garden	Fruit	None	C. Braendle	C. Braendle	2012-12-07	None	Isolated in Jardim do Palacio do Marques de Pombal	Oeiras
NIC272	True	NIC272	None		False	NIC	20160408	39.7694590	-8.7563560	129.349	Rural garden	Nut	None	C. Braendle	C. Braendle	2012-12-09	None	Isolated in a garden near an old farmhouse	Boa Vista
NIC273	False	NIC272	None		False	NIC	20160408	39.7694590	-8.7563560	129.349	Rural garden	Nut	None	C. Braendle	C. Braendle	2012-12-09	None	Isolated in a garden near an old farmhouse	Boa Vista
NIC274	True	NIC274	None		False	NIC	20160408	39.7694590	-8.7563560	129.349	Rural garden	Fruit	None	C. Braendle	C. Braendle	2012-12-09	None	Isolated in a garden near an old farmhouse	Boa Vista
NIC275	True	NIC275	None		False	NIC	20160408	39.7694590	-8.7563560	129.349	Rural garden	Nut	None	C. Braendle	C. Braendle	2012-12-09	None	Isolated in a garden near an old farmhouse	Boa Vista
NIC276	True	NIC276	None		False	NIC	20160408	39.7694590	-8.7563560	129.349	Rural garden	Fruit	None	C. Braendle	C. Braendle	2012-12-09	None	Isolated in a garden near an old farmhouse	Boa Vista
NIC277	True	NIC277	None		False	NIC	20160408	43.7164410	7.2661380	42.7002	Urban garden	Rotting fruit	None	C. Braendle	C. Braendle	2012-12-15	None	Isolated in Parc de Valrose	Nice
NIC3	True	NIC3	None		False	NIC	20160408	43.3636000	5.3215000	54.9807	None	Fruit	None	C. Braendle	C. Braendle	2008-09-28	None	None	Marseille
NIC4	False	NIC3	None		False	NIC	20160408	43.3636000	5.3215000	54.9807	None	Fruit	None	C. Braendle	C. Braendle	2008-09-28	None	None	Marseille
NIC501	True	NIC501	PA-05/11a-1		False	NIC	20170531	48.7730200	2.2675000	112.229	Botanical garden zoo	Fruit	None	C. Braendle	C. Braendle	2013-09-14	None	None	Châtenay-Malabry
NIC511	True	NIC511	NAP C10.1		False	NIC	20170531	40.8625000	14.2623855	40.0502	Botanical garden zoo	Fruit	None	C. Braendle	C. Braendle	2013-11-14	None	None	Naples
NIC513	True	NIC513	1.1a/LIS1		False	NIC	20170531	38.7760380	-9.1671360	75.2705	Botanical garden zoo	Fruit	None	C. Braendle	C. Braendle	2013-11-30	None	None	Lisbon
NIC514	True	NIC514	2.1a/LIS3		False	NIC	20170531	38.7760380	-9.1671360	75.2705	Botanical garden zoo	Fruit	None	C. Braendle	C. Braendle	2013-11-30	None	None	Lisbon
NIC515	True	NIC515	5.1c/LIS4		False	NIC	20170531	38.7767750	-9.1658840	67.4682	Botanical garden zoo	Fruit	None	C. Braendle	C. Braendle	2013-11-30	None	None	Lisbon
NIC522	True	NIC522	ESP2/3.1c		False	NIC	20170531	36.5356790	-6.3044410	13.9341	Botanical garden zoo	Fruit	None	C. Braendle	C. Braendle	2014-04-01	None	None	Cádiz
NIC523	True	NIC523	ESP4/6.1b		False	NIC	20170531	36.5356790	-6.2983100	14.5594	Botanical garden zoo	Fruit	None	C. Braendle	C. Braendle	2014-04-01	None	None	Cádiz
NIC526	True	NIC526	ESP8/1.2a		False	NIC	20170531	36.5356790	-6.3044410	13.9341	Botanical garden zoo	Fruit	None	C. Braendle	C. Braendle	2014-04-01	None	None	Cádiz
NIC521	False	NIC527	ESP1/2a		False	NIC	20170531	36.5356790	-6.3044410	13.9341	Botanical garden zoo	Fruit	None	C. Braendle	C. Braendle	2014-04-01	None	None	Cádiz
NIC527	True	NIC527	ESP9/4a		False	NIC	20170531	36.5356790	-6.3044410	13.9341	Botanical garden zoo	Fruit	None	C. Braendle	C. Braendle	2014-04-01	None	None	Cádiz
NIC528	True	NIC528	ESP10/5a		False	NIC	20170531	36.5356790	-6.2983100	14.5594	Botanical garden zoo	Fruit	None	C. Braendle	C. Braendle	2014-04-01	None	None	Cádiz
NIC529	True	NIC529	ESP11/8.2c		False	NIC	20170531	37.8707540	-4.7849670	94.2322	Botanical garden zoo	Fruit	None	C. Braendle	C. Braendle	2014-05-01	None	None	Córdoba
PB303	True	PB303	None		False	CGC	20160408	None	None	None	None	Isopod	None	S. Baird	S. Baird	1998-11-14	None	Porcellio scaber obtained from Ward's Biological Supply	
ECA258	False	PB306	PB306 Baer		False	CFB	20160408	None	None	None	None	Isopod	None	S. Baird	S. Baird	1998-11-28	None	Porcellio scaber obtained from Connecticut Valley Biological Supply	
ECA259	True	PB306	PB306 CGC|PB306		False	CGC	20160408	None	None	None	None	Isopod	None	S. Baird	S. Baird	1998-11-28	None	Porcellio scaber obtained from Connecticut Valley Biological Supply	
PS2025	True	PS2025	None		False	CGC	20160408	34.1900000	-118.1300000	418.996	Urban garden	None	None	J. Demodena	J. Demodena	None	None	None	Altadena
PX178	False	PX179	None		False	CGC	20160408	44.0350000	-123.0580000	220.352	Urban garden	Isopod	None	B. White	B. White	2001-09-01	None	Isolated in northwest Hendricks Park, northwest rhododendron garden, Eugene, OR.	Eugene
PX179	True	PX179	None		False	CGC	20160408	44.0350000	-123.0580000	220.352	Urban garden	Isopod	NA	B. White	B. White	2001-10-02	None	Isolated in northwest Hendricks Park, northwest rhododendron garden, Eugene, OR.	Eugene
QG2075	True	QG2075	None		False	QG	20160408	33.9510000	-83.3760000	195.214	None	Fungus	None	None	M. Rockman	2013-02-20	None	None	Athens
QG536	True	QG536	QG536 #2		False	QG	20160408	37.7502000	-122.4331000	65.0265	Urban garden	Fruit	None	None	M. Rockman	2010-12-30	None	None	San Francisco
QG537	False	QG536	QG537 #2		False	QG	20160408	37.7502000	-122.4331000	65.0265	Urban garden	Fruit	None	None	M. Rockman	2010-12-30	None	None	San Francisco
QG538	False	QG536	QG538 #2		False	QG	20160408	37.7502000	-122.4331000	65.0265	Urban garden	Fruit	None	None	M. Rockman	2010-12-30	None	None	San Francisco
QG556	True	QG556	None		False	QG	20160408	34.4216290	-119.7020210	19.4972	None	Rotting fruit	None	None	A. Paaby	2011-06-27	None	None	Santa Barbara
QG558	False	QG556	QG558 #2		False	QG	20160408	34.4216290	-119.7020210	19.4972	None	Rotting fruit	None	None	A. Paaby	2011-06-27	None	None	Santa Barbara
QG557	True	QG557	None		False	QG	20160408	34.4216290	-119.7020210	19.4972	None	Rotting fruit	None	None	A. Paaby	2011-06-27	None	None	Santa Barbara
QW947	True	QW947	None		False	QW	20160408	-33.4213000	-70.6106000	623.691	Urban garden	Compost	None	M. Alkema	M. Alkema	2013-04-12	None	None	Santiago
QX1211	True	QX1211	None		False	QX	20160408	37.7502000	-122.4331000	65.0265	Urban garden	Rotting fruit	None	M. Rockman	M. Rockman	2007-11-26	None	None	San Francisco
QX1215	False	QX1211	None		False	QX	20160408	37.7502000	-122.4331000	65.0265	Urban garden	Rotting fruit	None	M. Rockman	M. Rockman	2007-11-26	None	None	San Francisco
QX1216	False	QX1211	None		False	QX	20160408	37.7502000	-122.4331000	65.0265	Urban garden	Rotting fruit	None	M. Rockman	M. Rockman	2007-11-26	None	None	San Francisco
QX1212	True	QX1212	None		False	QX	20160408	37.7502000	-122.4331000	65.0265	Urban garden	Rotting fruit	None	M. Rockman	M. Rockman	2007-11-26	None	None	San Francisco
QX1213	False	QX1212	None		False	QX	20160408	37.7502000	-122.4331000	65.0265	Urban garden	Rotting fruit	None	M. Rockman	M. Rockman	2007-11-26	None	None	San Francisco
QX1214	False	QX1212	None		False	QX	20160408	37.7502000	-122.4331000	65.0265	Urban garden	Rotting fruit	None	M. Rockman	M. Rockman	2007-11-26	None	None	San Francisco
QX1218	False	QX1233	None		False	QX	20160408	37.8804000	-122.2838000	33.77	Urban garden	Compost	None	M. Rockman	M. Rockman	2007-11-24	None	None	Berkeley
QX1233	True	QX1233	None		False	QX	20160408	37.8804000	-122.2838000	33.77	Urban garden	Compost	None	M. Rockman	M. Rockman	2007-11-24	None	None	Berkeley
QX1791	True	QX1791	QX1791 #2		False	QX	20160408	20.6344000	-156.3935000	581.34	Forest	Rotting bark	None	E. Andersen	E. Andersen	2011-01-27	None	None	Kula
QX1792	True	QX1792	QX1792 #2		False	QX	20160408	20.7055400	-156.3547500	882.462	Rural garden	Rotting fruit	None	E. Andersen	E. Andersen	2011-01-28	None	None	Kula
QX1793	True	QX1793	QX1793 #2		False	QX	20160408	20.7055900	-156.3567800	865.074	Rural garden	Compost	None	E. Andersen	E. Andersen	2011-01-28	None	None	Kula
QX1794	True	QX1794	QX1794 #2		False	QX	20160408	20.7055900	-156.3567800	865.074	Rural garden	Compost	None	E. Andersen	E. Andersen	2011-01-28	None	None	Kula
PX174	False	RC301	None		False	CGC	20160408	None	None	None	None	None	None	None	None	None	None	Likely contaminated with RC301	
RC301	True	RC301	None		False	CGC	20160408	47.9900000	7.8400000	267.0	Urban garden	Compost	None	R. Cassada	R. Cassada	1983-01-01	Only year (1983) is known	Reference WBG 9(3) 29 and 10(2) 140-141. npr-1 pka bor-1	Freiburg im Breisgau
MY2022	False	RC301	None		False	MY	20170531	54.3463550	10.1177370	22.4065	Botanical garden zoo	Isopod	None	C. Petersen	C. Petersen	2012-07-04	None	None	Kiel
MY2024	False	RC301	None		False	MY	20170531	54.3463550	10.1177370	22.4065	Botanical garden zoo	Slug	None	C. Petersen	C. Petersen	2012-07-04	None	None	Kiel
MY2078	False	RC301	None		False	MY	20170531	54.3463550	10.1177370	22.4065	Botanical garden zoo	Compost	None	C. Petersen	C. Petersen	2012-08-01	None	None	Kiel
MY2291	False	RC301	None		False	MY	20170531	54.3463550	10.1177370	22.4065	Botanical garden zoo	Compost	None	C. Petersen	C. Petersen	2012-10-10	None	None	Kiel
MY2630	False	RC301	None		False	MY	20170531	54.3491000	10.1150500	20.723	Botanical garden zoo	Isopod	None	R. Hermann	R. Hermann	2013-08-09	None	None	Kiel
MY2636	False	RC301	None		False	MY	20170531	54.3491000	10.1150500	20.723	Botanical garden zoo	Isopod	None	R. Hermann	R. Hermann	2013-08-23	None	None	Kiel
MY2640	False	RC301	None		False	MY	20170531	54.3491000	10.1150500	20.723	Botanical garden zoo	Slug	None	R. Hermann	R. Hermann	2013-08-23	None	None	Kiel
MY2681	False	RC301	None		False	MY	20170531	54.3491000	10.1150500	20.723	Botanical garden zoo	Isopod	None	C. Petersen	C. Petersen	2013-09-04	None	None	Kiel
MY2684	False	RC301	None		False	MY	20170531	54.3491000	10.1150500	20.723	Botanical garden zoo	Slug	None	M . Barg	M. Barg	2013-08-19	None	None	Kiel
MY2691	False	RC301	None		False	MY	20170531	54.3491000	10.1150500	20.723	Botanical garden zoo	Isopod	None	R. Hermann	R. Hermann	2013-07-31	None	None	Kiel
MY684	False	RC301	None		False	MY	20170531	54.3463550	10.1177370	22.4065	Botanical garden zoo	Compost	None	C. Petersen	C. Petersen	2011-09-27	None	None	Kiel
MY882	False	RC301	None		False	MY	20170531	54.3463550	10.1177370	22.4065	Botanical garden zoo	Compost	None	C. Petersen	C. Petersen	2011-12-01	None	None	Kiel
WN2001	True	WN2001	None		False	WN	20160408	51.9544220	6.3034060	15.8889	None	Compost	None	None	J. Riksen	2008-06-26	None	None	Doetinchem
WN2010	False	WN2001	None		False	WN	20160408	51.9544220	6.3034060	15.8889	None	Compost	None	None	J. Riksen	2008-06-26	None	None	Doetinchem
WN2011	False	WN2001	None		False	WN	20160408	51.9544220	6.3034060	15.8889	None	Compost	None	None	J. Riksen	2008-06-26	None	None	Doetinchem
WN2013	False	WN2001	None		False	WN	20160408	51.9544220	6.3034060	15.8889	None	Compost	None	None	J. Riksen	2008-06-26	None	None	Doetinchem
WN2014	False	WN2001	None		False	WN	20160408	51.9544220	6.3034060	15.8889	None	Compost	None	None	J. Riksen	2008-06-26	None	None	Doetinchem
WN2016	False	WN2001	None		False	WN	20160408	51.9544220	6.3034060	15.8889	None	Compost	None	None	J. Riksen	2008-06-26	None	None	Doetinchem
WN2017	False	WN2001	None		False	WN	20160408	51.9544220	6.3034060	15.8889	None	Compost	None	None	J. Riksen	2008-06-26	None	None	Doetinchem
WN2018	False	WN2001	None		False	WN	20160408	51.9544220	6.3034060	15.8889	None	Compost	None	None	J. Riksen	2008-06-26	None	None	Doetinchem
WN2019	False	WN2001	None		False	WN	20160408	51.9544220	6.3034060	15.8889	None	Compost	None	None	J. Riksen	2008-06-26	None	None	Doetinchem
WN2020	False	WN2001	None		False	WN	20160408	51.9544220	6.3034060	15.8889	None	Compost	None	None	J. Riksen	2008-06-26	None	None	Doetinchem
WN2021	False	WN2001	None		False	WN	20160408	51.9544220	6.3034060	15.8889	None	Compost	None	None	J. Riksen	2008-06-26	None	None	Doetinchem
WN2002	True	WN2002	None		False	WN	20160408	51.9752850	5.6948340	27.7031	Rural garden	Compost	None	J. Riksen	J. Riksen	2007-11-20	None	None	Wageningen
WN2003	False	WN2002	None		False	WN	20160408	51.9752850	5.6948340	27.7031	Rural garden	Compost	None	J. Riksen	J. Riksen	2007-11-20	None	None	Wageningen
WN2033	True	WN2033			False	WN	20170531	51.9750000	5.6940000	26.5295	Rural garden	Stem	None	J. Riksen	J. Riksen	2014-11-05	None	None	Wageningen
WN2035	False	WN2033			False	WN	20170531	51.9750000	5.6940000	26.5295	Rural garden	Stem	None	J. Riksen	J. Riksen	2014-11-05	None	None	Wageningen
WN2039	False	WN2033			False	WN	20170531	51.9750000	5.6940000	26.5295	Rural garden	Stem	None	J. Riksen	J. Riksen	2014-11-05	None	None	Wageningen
WN2050	True	WN2050			False	WN	20170531	51.9750000	5.7170000	20.0953	Botanical garden zoo	Plant	None	J. Riksen	J. Riksen	2014-11-11	None	None	Wageningen
WN2056	False	WN2050			False	WN	20170531	51.9750000	5.7170000	20.0953	Botanical garden zoo	Plant	None	J. Riksen	J. Riksen	2014-11-11	None	None	Wageningen
XZ1513	True	XZ1513	None		False	XZ	20170531	22.1478700	-159.6310500	1270.07	None	Rotting fruit	None	M. Ailion	M. Ailion	2014-10-08	None	None	Waimea
XZ1514	True	XZ1514	None		False	XZ	20170531	22.1490000	-159.6680000	982.853	None	Rotting fruit	None	M. Ailion	M. Ailion	2014-10-15	None	None	Hanapepe
XZ1515	True	XZ1515	None		False	XZ	20170531	22.1490000	-159.6680000	982.853	None	Rotting fruit	None	M. Ailion	M. Ailion	2014-10-15	None	None	Hanapepe
XZ1516	True	XZ1516	None		False	XZ	20170531	22.1490000	-159.6680000	982.853	None	Rotting fruit	None	M. Ailion	M. Ailion	2014-10-15	None	None	Hanapepe
ECA615	False	JU1581	JU1516-MAF		False	JU	20170531	48.7015000	2.1725000	65.7882	Rural garden	Rotting fruit	None	M.-A. Félix	M.-A. Félix	2008-09-08	None	None	Saclay
JU1249	True	JU1249	14.1.5		False	MAF	20170531	49.1260000	1.9510000	63.3097	Rural garden	Rotting fruit	None	M.-A. Félix	M.-A. Félix	2007-10-14	None	None	Bréançon
ECA551	False	JU311	JU311, F5.1		False	JU	20170531	44.4200000	4.4000000	147.516	Rural garden	Snail	None	M.-A. Félix	M.-A. Félix	2002-09-08	None	Merlet, Lagorce (Ardèche), France. 8 Sep 02. Wash from snail tube - snails coming from under a tree full of ivy	Vallon-Pont-d'Arc
ECA616	False	JU1530	JU1530MAF, O21.1.1		False	JU	20160408	48.7015000	2.1725000	65.7882	Rural garden	Rotting fruit	None	M.-A. Félix	M.-A. Félix	2008-09-09	None	Isolated from a rotting apple O21 (tree “Wealthy”, like O20), sampled in the Orsay orchard on 9 Sep 2008 ca. 14:00, plated ca. 18:00, picked as adult ca. 20:00.	Orsay
